Impervious,Water,Herbaceous,BareSoilDr,Unsuitable,PossiblePl,Shrub,Shape_Area,object_id,Year,UrbanTreeCanopy_pct
67.630172648,0,16.4411538698,0.614742722574,6.76742915412,10.0672886164,0.393563900811,35228.2686809,14,2020,16.6158763736
67.630172648,0,16.4411538698,0.614742722574,6.76742915412,10.0672886164,0.393563900811,35228.2686809,14,2022,14.9580578337
67.630172648,0,16.4411538698,0.614742722574,6.76742915412,10.0672886164,0.393563900811,35228.2686809,14,2024,14.9203668588
76.9427233058,0,5.77233630731,0,0,5.90519166676,0.132855359454,8132.14717711,15,2020,20.7540686954
76.9427233058,0,5.77233630731,0,0,5.90519166676,0.132855359454,8132.14717711,15,2022,18.3019710696
76.9427233058,0,5.77233630731,0,0,5.90519166676,0.132855359454,8132.14717711,15,2024,17.1520850274
51.4423626839,2.42124768376,17.0548806991,0.199025461533,0,18.5386804706,1.03493239997,7333.580971110001,16,2020,29.438794409
51.4423626839,2.42124768376,17.0548806991,0.199025461533,0,18.5386804706,1.03493239997,7333.580971110001,16,2022,28.7078064265
51.4423626839,2.42124768376,17.0548806991,0.199025461533,0,18.5386804706,1.03493239997,7333.580971110001,16,2024,28.5385398058
79.8207841706,0,2.4181972996,0,0,2.52118558164,0.102988282042,21436.9444934,17,2020,18.5403235616
79.8207841706,0,2.4181972996,0,0,2.52118558164,0.102988282042,21436.9444934,17,2022,15.43851113
79.8207841706,0,2.4181972996,0,0,2.52118558164,0.102988282042,21436.9444934,17,2024,17.6580302477
57.5732732117,0,10.4406640705,0,0,10.5144496823,0.0737856118057,8267.96974303,18,2020,37.7659356425
57.5732732117,0,10.4406640705,0,0,10.5144496823,0.0737856118057,8267.96974303,18,2022,28.4962765594
57.5732732117,0,10.4406640705,0,0,10.5144496823,0.0737856118057,8267.96974303,18,2024,31.912277106
100,0,0,0,0,0,0,207.141115188,19,2020,0
100,0,0,0,0,0,0,207.141115188,19,2022,0
100,0,0,0,0,0,0,207.141115188,19,2024,0
63.4615681373,0,15.1891116152,0,0,15.2755273676,0.0864157523571,5467.04516899,20,2020,19.6179189235
63.4615681373,0,15.1891116152,0,0,15.2755273676,0.0864157523571,5467.04516899,20,2022,18.562412234
63.4615681373,0,15.1891116152,0,0,15.2755273676,0.0864157523571,5467.04516899,20,2024,21.2629044952
44.73970762,0,6.28779278549,0,0,6.28779278549,0,651.749254024,21,2020,61.5967379469
44.73970762,0,6.28779278549,0,0,6.28779278549,0,651.749254024,21,2022,53.0825012163
44.73970762,0,6.28779278549,0,0,6.28779278549,0,651.749254024,21,2024,48.9724995946
62.5213411312,0,10.3618002833,0.0835482582004,0,10.401758146,0.0399578626176,9868.62165752,22,2020,34.8723164663
62.5213411312,0,10.3618002833,0.0835482582004,0,10.401758146,0.0399578626176,9868.62165752,22,2022,28.7188056232
62.5213411312,0,10.3618002833,0.0835482582004,0,10.401758146,0.0399578626176,9868.62165752,22,2024,26.9933524647
70.3834075301,0,8.54815888463,0,0,8.81043586293,0.262276978293,9855.93135273,23,2020,23.9431273079
70.3834075301,0,8.54815888463,0,0,8.81043586293,0.262276978293,9855.93135273,23,2022,25.0405494012
70.3834075301,0,8.54815888463,0,0,8.81043586293,0.262276978293,9855.93135273,23,2024,20.806156607
56.4762021719,0,5.58586691462,0,0,5.6542867669,0.0684198522833,20286.8930783,24,2020,45.9728776688
56.4762021719,0,5.58586691462,0,0,5.6542867669,0.0684198522833,20286.8930783,24,2022,41.0677005667
56.4762021719,0,5.58586691462,0,0,5.6542867669,0.0684198522833,20286.8930783,24,2024,37.8695110612
83.8639339697,0,4.34671833431,0,0,4.34671833431,0,19294.2509958,25,2020,13.1799894532
83.8639339697,0,4.34671833431,0,0,4.34671833431,0,19294.2509958,25,2022,12.1353787084
83.8639339697,0,4.34671833431,0,0,4.34671833431,0,19294.2509958,25,2024,11.789347696
69.5969018073,0,5.53010743733,0,0,5.53010743733,0,7866.91595466,26,2020,30.0991088532
69.5969018073,0,5.53010743733,0,0,5.53010743733,0,7866.91595466,26,2022,25.0728741567
69.5969018073,0,5.53010743733,0,0,5.53010743733,0,7866.91595466,26,2024,24.8729907554
98.2667615019,0,1.40006738292,0,0,1.40006738292,0,2443.09477717,27,2020,0
98.2667615019,0,1.40006738292,0,0,1.40006738292,0,2443.09477717,27,2022,0.0617676786583
98.2667615019,0,1.40006738292,0,0,1.40006738292,0,2443.09477717,27,2024,0.333171115187
58.5116538648,0,8.74737475951,0,0,8.91627135073,0.168896591226,13846.431422,28,2020,40.4044706193
58.5116538648,0,8.74737475951,0,0,8.91627135073,0.168896591226,13846.431422,28,2022,32.7071920575
58.5116538648,0,8.74737475951,0,0,8.91627135073,0.168896591226,13846.431422,28,2024,32.5720747845
72.0963668872,0,6.43674770972,0,0,6.70771045695,0.27096274723,5539.68743553,29,2020,27.7248345653
72.0963668872,0,6.43674770972,0,0,6.70771045695,0.27096274723,5539.68743553,29,2022,17.4264068865
72.0963668872,0,6.43674770972,0,0,6.70771045695,0.27096274723,5539.68743553,29,2024,21.1959226558
64.7033026347,0,8.98525790237,0,0,9.04766724016,0.0624093377863,11068.389096,30,2020,29.9227473603
64.7033026347,0,8.98525790237,0,0,9.04766724016,0.0624093377863,11068.389096,30,2022,26.011199946
64.7033026347,0,8.98525790237,0,0,9.04766724016,0.0624093377863,11068.389096,30,2024,26.2490301252
