OBJECTID,UnitID,UnitID2,Name,UnitType,Status,PW Grid No,GLOBALID,Flow direction,Shape__Length
1857,88724,183128,Battle Creek,CREEK,ACT,42-446,56a823f7-da79-43a8-9424-1870dcde3673,1,109.2205051
1858,183095,183134,Powell Creek (Trib. Battle Creek),CREEK,ACT,39-442,8c066d3b-a9ca-4986-9b9d-825190ae95f1,1,931.3381895
1859,183134,183135,Powell Creek (Trib. Battle Creek),CREEK,ACT,39-442,614ff762-5962-4371-9c91-5151ad1615a1,1,58.92863008
1860,76233,76232,Powell Creek (Trib. Battle Creek),CREEK,ACT,39-442,9b2511e7-4075-4034-ad0f-7d36fe00c645,1,27.22480577
1861,76231,76230,Powell Creek (Trib. Battle Creek),CREEK,ACT,39-442,4889305e-7c0d-40e2-9db0-4a660f3bf2f7,1,33.15293273
1862,51570,51571,Powell Creek (Trib. Battle Creek),CREEK,ACT,42-444,f1f358cb-53e2-4ae9-b011-34b6d703bb95,1,28.98881461
1863,37498,36574,Powell Creek (Trib. Battle Creek),CREEK,ACT,42-444,67da9c19-276f-4bde-a416-888352042409,1,67.28188264
1864,38254,37330,Powell Creek (Trib. Battle Creek),CREEK,ACT,42-446,fd78954a-d8ec-4379-8e51-033c5a053658,1,54.53019806
1865,37076,38000,Powell Creek (Trib. Battle Creek),CREEK,ACT,45-446,4d389a82-2f2d-4226-8677-c6581550aa5c,1,37.07991991
1866,37077,38001,Powell Creek (Trib. Battle Creek),CREEK,ACT,45-446,a489d385-dfd8-4548-9351-4405a6c0b06c,1,52.03695553
1867,36378,36368,Scotch Creek (Trib. Battle Creek),CREEK,ACT,45-442,f9a659bb-59d0-49f0-8516-0d32215406db,1,67.85575456
1868,73652,73651,Scotch Creek (Trib. Battle Creek),CREEK,ACT,45-442,b8453493-ccc6-4692-aa11-feda14a6a24b,1,68.06817083
1869,38271,37347,Scotch Creek (Trib. Battle Creek),CREEK,ACT,45-444,fa9dae6d-4d66-4c47-bff7-162853994caf,1,44.28468806
1870,50311,50312,Scotch Creek (Trib. Battle Creek),CREEK,ACT,45-444,13c90e73-93d9-42d2-ab0c-33fa8c82f683,1,22.0591039
1871,50313,50314,Scotch Creek (Trib. Battle Creek),CREEK,ACT,45-444,18157b6d-5ce8-40d6-9dc4-ad1b4b890f64,1,22.92672513
1872,36251,103058,Cinnamon Creek (Trib Battle Creek),CREEK,ACT,45-444,1980dae4-43b7-4381-bb46-df572bd6b8de,1,62.60595132
1873,37495,36571,Cinnamon Creek (Trib Battle Creek),CREEK,ACT,45-444,03776eab-2612-49bb-80c2-5d37c24958ea,1,69.8167156
1874,43250,43251,Battle Creek,CREEK,ACT,48-444,43e05171-2646-4124-b168-16dcd65d4495,1,278.5977277
1875,33139,33136,Waln Creek (Trib. Battle Creek),CREEK,ACT,33-450,8c38b90c-5f17-4dfe-8a34-06df639799a9,1,116.2051695
